Adhola,English,Swahili
Mac,Fire,Moto
A nen mac!,"Look, fire!","Angalia, moto!"
Mac waŋo gi kipiny.,Fire burns.,Moto unachoma.
Watedo gi mac.,Fire cooks.,Moto unatumika kupika.
Mac kelo ri wan lyetho.,Fire gives warmth.,Moto unaleta joto.
Mac miyo wan lero.,Fire gives light.,Moto unaleta mwanga.
A nen mac!,"Look, fire!","Angalia, moto!"
Mac obedo gi maber.,Fire is wonderful.,Moto ni wa ajabu.
Aka ni gi men.,And it is powerful.,Na una nguvu sana.
Tedo,Cooking,Kupika
Agowo rabwo.,I peel the potatoes.,Ninamenya viazi.
Anyaro kabico.,I chop a cabbage.,Ninakatakata kabichi.
Agweno karoti.,I grate the carrots.,Ninasaga karoti.
Alwoko bijanjali.,I wash the beans.,Ninaosha maharagwe.
Aŋado nyaryeŋa.,I cut the butternut.,Ninakata maboga.
Anyaro siku mawiki.,I chop the spinach.,Ninakatakata sukuma-wiki.
Mama ŋado katungulu.,"My mom chops the
onions.",Mama yangu anakatakata vitunguu.
Katungulu m’oŋadi lunga i waŋan.,"Onions make me cry
when they are chopped.",Vitunguu hunifanya nilie vikiwa vinakatwakatwa.
Jali Ma Bori Tektek Swa,A very tall man,Mwanamume mrefu
kweri pere oyido chieki swa.,His hoe was too short.,Jembe lake lilikuwa fupi mno.
Dhioti pere oyido ni pinyi swa.,His doorway was too low.,Mlango wake ulikuwa chini mno.
Kitanda pere oyido cheiki swa.,His bed was too short.,Kitanda chake kilikuwa kifupi mno.
Gali pere oyido chieki swa.,His bicycle was too short.,Baisikeli yake ilikuwa fupi sana.
Jaali me oyido bori swa!,This man was too tall!,Mtu huyu alikuwa mrefu zaidi!
Go oyiko furi kweri mabori swa.,He made a very long hoe handle.,Alitengeneza mpini wa jembe mrefu sana.
Go oyiko gute thigo pere mabori swa.,He made very high door frames.,Alitengeneza fremu ndefu za milango.
Go oyiko kitanda mabori swa.,He made a very long bed.,Alitengeneza kitanda kirefu sana.
Go onyiewo gali manitye malo swa.,He bought a very high bicycle.,Akanunua baisikeli iliyokuwa ndefu mno.
Go obedo i komi ma bori swa. Go ochiemo gi wuma ma bori swa.,He sat on a very high chair. He ate with a very long fork.,Aliketi juu ya kiti kilichokuwa juu sana. Alikula kwa kutumia uma iliyokuwa ndefu mno.
Go oweyo pecho pere to chako bedo iluli. Go obedo ma oro kweth.,He left his house and lived in a big forest. He lived for many years.,Aliacha nyumba yake na kuishi katika msitu mkubwa. Aliishi kwa miaka mingi.
"Dyel, Gwok Kodi Dhyaŋ","Goat, Dog, and Cow","Mbuzi, Mbwa na Ng'ombe"
"Cango cango Dyel, Gwok gi Dhyaŋ jo bedo mere matek swa. Ndir acel jo kidho woth i motoka.","Goat, Dog, and Cow
were great friends. One
day they went on a
journey in a taxi.","Mbuzi, Mbwa na Ng’ombe walikuwa marafiki wa karibu sana. Siku moja walisafiri kwa teksi."
Jo tundo kama joloro iye. Jagwey motoka openjo jo cul ma woth. Dhyaŋ oculo apere.,"When they reached the
end of their journey, the
driver asked them to
pay their fares. Cow
paid her fare.","Walipofika mwisho wa safari yao, dereva aliwaomba walipe nauli zao. Ng’ombe alilipa nauli yake."
"Gwok oculo pesa ma thoth, rupir go oyido ongoye gi pesa ma thin.","Dog paid a bit extra,
because he did not
have the correct money.",Mbwa alilipa zaidi kidogo kwa sababu hakuwa na pesa taslimu.
Jagwey motoka oyido chegin dwoko ri Gwok pesa pere m’odoŋ. Dyel oŋweco woko abwap ma ku culo apere.,"The driver was about to
give Dog his change
when Goat ran away
without paying
anything.","Dereva alipokaribia kumpa Mbwa chenji yake, Mbuzi alitoroka bila kulipa chochote."
Jagwey motoka omako nge swa. Go otugila motoka to kadho ma ku dwoko ri Gwok pesa pere m’odong.,"The driver was very
annoyed. He drove
away without giving
Dog his change.",Dereva alikasirika sana. Aliondoka bila kumrudishia Mbwa chenji yake.
"Meno, ama omiyo kiri konon, fodi Gwok ŋweco ryemo motoka ni woleŋo iye waŋe. Go rango jagwey motoka ma ku dwoko ri go pesa pere m’odoŋ.","That is why, even
today, Dog runs
towards a car to peep
inside and find the
driver who owes him his
change.",Hiyo ndiyo sababu hadi leo Mbwa hukimbiza magari ili achungulie ndani kuona kama atampata dereva mwenye chenji yake.
Dyel ŋweco aŋweca ka owinjo mor ma motoka. Go lworo ni ile mako go rupir ndir no ku culo jagwey motoka pesa ma woth.,"Goat runs away from
the sound of a car. She
is afraid she will be
arrested for not paying
her fare.",Mbuzi hukimbia anaposikia mlio wa gari. Anaogopa atakamatwa kwa kutolipa nauli.
Dhyaŋ ki dew ri go kwoŋ motokin. Dhyaŋ gale a gala ka ŋado ngudo. Oŋeyo ni oculo pesa pere mawoth je.,"And Cow is not
bothered when a car is
coming. Cow takes her
time crossing the road
because she knows she
paid her fare in full.",Na Ng’ombe hababaiki gari likiwa linakuja. Ng’ombe huvuka barabara bila wasiwasi kwa sababu anajua alilipa nauli yake yote.
Nyathi Ma Nyakare,Donkey Child,Mtoto Punda
Aneno dhano to akaŋasa go tek tek.,It was a little girl who first saw the mysterious shape in the distance.,Ilikuwa ni msichana mdogo aliyekuwa wa kwanza kuona umbo la ajabu kwa mbali.
To aneno dhako ma yac ma omako iye.,"As the shape moved closer, she saw that it was a heavily pregnant woman.","Kadiri umbo lilipokaribia, aliona kwamba lilikuwa ni mwanamke mwenye ujauzito mkubwa."
Jo calo mawan jo jolo dhako no to doŋ both wan.,"Shy but brave, the little girl moved nearer to the woman.

“We must keep her with us,” the little girl’s people decided. “We’ll keep her and her child safe.”","Kwa upole na ujasiri, msichana alimsogelea mwanamke yule. “Lazima tumhifadhi,” watu wa msichana yule walisema. “Tutawaweka yeye na mtoto wake salama.”"
"I dyer wor dhako no okoko ni, “Nyathi! Eno nyathi wok.”","The child was soon on its way.

“Push!”

“Bring blankets!”

“Water!”

“Puuuuussssshhh!!!”",Mtoto alikuwa njiani kuzaliwa si muda mrefu. “Sukuma!” “Leteni mablanketi!” “Maji!” “Suuukuuumaaaa!!!”
Dhako no to nywolo punda.,"But when they saw the baby, everyone jumped back in shock.

“A donkey?!”","Lakini walipomwona mtoto, wote waliruka kwa mshtuko. “Punda?!”"
"Ji jo penjere ni, “Wa no tim nedi?”","Everyone began to argue.

“We said we would keep mother and child safe, and that’s what we’ll do,” said some.

“But they will bring us bad luck!” said others.","Wakaanza kubishana. “Tulisema tutawaweka mama na mtoto salama, na hivyo ndivyo tutakavyofanya,” baadhi wakasema. “Lakini watatuletea mkosi!” wengine wakadai."
"Ji jo ŋweco kwoŋ go. To dhako no paro ni, “A la timere nedi gi nyathi me?”","And so the woman found herself alone again.

She wondered what to do with this awkward child.

She wondered what to do with herself.",Kwa hiyo mwanamke yule alijikuta yuko peke yake kwa mara nyingine tena. Akajiuliza atafanya nini na mtoto huyo wa ajabu. Akajiuliza atafanya nini na yeye mwenyewe.
"Rumacen, dhako no oyere to maro nyathi pere.",But finally she had to accept that he was her child and she was his mother.,Lakini hatimaye alikubali kwamba huyo ni mwanaye na yeye ni mama yake.
"Nyathi no odongo, obedo ma dwoŋ, ma odhyero kir min tiŋo.","Now, if the child had stayed that same, small size, everything might have been different. But the donkey child grew and grew until he could no longer fit on his mother’s back.

And no matter how hard he tried, he could not behave like a human being. His mother was often tired and frustrated. Sometimes she made him do work meant for animals.","Endapo mtoto huyo angebaki kuwa vilevile, na umbo dogo, labda kila kitu kingekuwa tofauti. Lakini mtoto Punda aliendelea kukua na kukua mpaka hakuweza kutoshea tena mgongoni mwa mama yake. Pamoja na kujaribu kwa bidii, hakuweza kuwa na tabia za kibinadamu. Mara nyingi mama yake alichoka na kuvunjika moyo. Wakati mwingine alimlazimisha kufanya kazi walizostahili wanyama."
Min obedo gi gut. Nyathi pere bende omako nge to gweyo go.,"Confusion and anger built up inside Donkey. He couldn’t do this and he couldn’t do that. He couldn’t be like this and he couldn’t be like that.

He became so angry that, one day, he kicked his mother to the ground.","Kuchanganyikiwa na hasira vilianza kujengeka ndani mwa Punda. Alishindwa kufanya hivi wala vile. Alishindwa kuwa hivi wala vile. Alipatwa na hasira sana kiasi kwamba, siku moja, alimpiga teke mama yake mpaka akaanguka chini."
Oŋweco woko munyo oneno min opodho piny.,Donkey was filled with shame. He started to run away as far and fast as he could.,Punda alijawa na aibu. Akaanza kukimbilia mbali kwa haraka kadiri awezavyo.
"Nyathi punda odoŋ kende, kec oneko, ool, to nindo kwalo.","By the time he stopped running, it was night, and Donkey was lost.

“Hee haw?” he whispered to the darkness.

“Hee Haw?” it echoed back. He was alone.

Curling himself into a tight ball, he fell into a deep and troubled sleep.","Wakati aliposimama, ilikuwa ni usiku, na alikuwa amepotea. “Hii hoo?” alinong’ona gizani. “Hii hoo?” giza likatoa mwangwi. Alikuwa mwenyewe. Alijikunyata katika umbo dogo, akalala fofofo usingizi wa mang’amung’amu."
"Munyo nyathi punda ocew, oneno jal moro ocungo dho bothe.",Donkey woke up to find a strange old man staring down at him. He looked into the old man’s eyes and started to feel a twinkle of hope.,Punda aliamka na kumkuta mzee mmoja wa ajabu akimtazama. Akamwangalia mzee yule machoni na akaanza kuhisi ishara ya matumaini.
Jalo otiŋo go to dok gine peco pere.,"Donkey went to stay with the old man, who taught him many different ways to survive.

Donkey listened and learned, and so did the old man. They helped each other, and they laughed together.","Punda alienda kuishi na mzee yule, na mzee alimfundisha mbinu nyingi za kuishi. Punda alisikiliza na kujifunza, na mzee vivyo hivyo pia. Walisaidiana na kucheka pamoja."
Nyathi punda otiŋo jalo i gongo munyo otegino.,"One morning, the old man asked Donkey to carry him to the top of a mountain.","Asubuhi moja, mzee alimwomba Punda ambebe hadi kwenye kilele cha mlima."
"Ndir acel, jo idho wi got moro kir malo, jo ol to jo podho nindo.","High up amongst the clouds they fell asleep.

Donkey dreamed that his mother was sick and calling to him.

And when he woke up…","Walipofika juu kwenye mawingu, walipatwa na usingizi. Punda akaota kuwa mama yake alikuwa mgonjwa na alimhitaji. Na alipoamka…"
"Munyo nyathi punda ocew, onwaŋo ni nitye kende kendo.","… the clouds had disappeared along with his friend, the old man.","…mawingu yalikuwa yametoweka pamoja na rafiki yake, yule mzee."
Nyathi punda obedo gi gut. Owotho ka gi kaca rango min.,Donkey finally knew what to do.,"Hatimaye, Punda alijua alichotakiwa kufanya."
"Nyathi punda oneno dhano moro to penjere ni, “Meno","Donkey found his mother, alone and mourning her lost child. They stared at each other for a long time.

And then hugged each other very hard.",Punda alimkuta mama yake akiwa peke yake huku akimwomboleza mwanaye aliyepotea. Wakaangaliana kwa muda mrefu. Na kisha wakakumbatiana kwa hisia.
Wok i ndiri no nyahti punda gi min jo bedo ka nyacel. Tiŋo min to wotho gi ne.,"The donkey child and his mother have grown together and found many ways of living side by side.

Slowly, all around them, other families have started to settle.","Mtoto Punda na mama yake wamekuwa kitu kimoja na kuishi kwa ushirikiano. Taratibu, familia nyingine zimeanza kuhamia na kuishi miongoni mwao."
Ywomirok Bothi Adhadha,Holidays with grandmother,Likizo kwa bibi
"Odongo gi Apiyo jobedo gi ba jo i tindi madwoŋ.  Jo bedo ka jo kiyo akiya ywomirok. Ki rupir sikulu i lacego, to rupir jowanya kidho lyewo adha jo.  Go bedo yoloka pa jokitoga ger gi nam madwoŋ.","Odongo and Apiyo lived in the city with their father.

They looked forward to the holidays. Not just because school was closed, but because they went to visit their grandmother. She lived in a fishing village near a large lake.","Odongo na Apiyo waliishi mjini na baba yao. Walisubiri likizo kwa hamu. Siyo tu kwa shule kufungwa, bali ni kwa sababu walienda kumtembelea bibi yao. Aliishi katika kijiji cha uvuvi karibu na ziwa kubwa."
Odongo gi Apiyo jo sangala swa rupir hongo otundo ma kidho lyewo adha jo kendo. Wor m’otelo jo tweyo migugu pa jo to jo yikere ma woth ma kidho loka p’adha jo. Nindo kumako waŋ jo aka jo luwo kwoŋ lyewo adha jo wor gi pi.,"Odongo and Apiyo were excited because it was time to visit their grandmother again.

The night before, they packed their bags and got ready for the long journey to her village. They could not sleep and talked the whole night about the holiday.","Odongo na Apiyo walichangamka kwani ulikuwa wakati wa kumtembelea bibi kwa mara nyingine. Usiku huo, walipanga mizigo yao na kujiandaa kwa safari ndefu ya kwenda kijijini. Hawakuweza kulala ila waliongea usiku kucha juu ya likizo yao."
"Jo mondo yawere mere kadho p’adha jo i mutoka pa ba jo. Ogwey gi jo motoka kalo gote, ogwange ma dudi gi ndelin majan. Jo kwano motokin aka jowero.","Early the next morning, they left for the village in their father’s car.

They drove past mountains, wild animals and tea plantations. They counted cars and sang songs.","Mapema asubuhi iliyofuata, waliondoka katika gari la baba yao kuelekea kijijini. Walipita milima, wanyama pori na mashamba ya majani ya chai. Walihesabu magari na kuimba nyimbo."
Rumacen nyithindho jo ol to jo podho nindo.,"After a while, the children were tired and fell asleep.","Baada ya muda, watoto walichoka na kusinzia."
"Ba jo ocewo jo munyo jo tundo loka ago. Jo nwaŋo adha jo, Nyajaruya, ywomere i tyendi yath i par.","Father woke up Odongo and Apiyo as they arrived in the village.

They found Nyar-Kanyada, their grandmother, resting on a mat under a tree.

Nyar-Kanyada in Luo, means ‘daughter of the people of Kanyada’. She was a strong and beautiful woman.","Baba aliwaamsha Odongo na Apiyo walipofika kijijini. Walimkuta bibi yao, Nyar-Kanyada, akipumzika kwenye mkeka chini ya mti. Kwa Dholuo, Nyar-Kanyada maana yake ni ‘binti wa watu wa Kanyada’. Alikuwa ni mwanamke mrembo na imara."
"Nyajaruwa osangala gi jo, orwako jo i ot to mielo thoko dier ot. Nyikwaye jo miyo go mic ma jo kelo wok i tindi madwoŋ. Odongo owaco ni, “Tel yawo mic paran.” Apiyo bende owaco ni, “Be, tel g’aparan ayino!”","Nyar-Kanyada welcomed them into the house and danced around the room singing with joy.

Her grandchildren were excited to give her the presents they brought from the city.

“First open my gift,” said Odongo.

“No, my gift first!” said Apiyo.","Nyar-Kanyada aliwakaribisha ndani kwa kucheza na kuimba kwa furaha. Wajukuu wake walikuwa na shauku ya kumpa zawadi walizomletea kutoka mjini. “Fungua yangu kwanza,” Odongo alisema. “Hapana, yangu kwanza!” Apiyo akasema."
"Munyo Nyajaruwa ocowo yawo mic je, omiyo nyikwaye silwany i kula ma nyanono pa jo.","After she opened the presents, Nyar-Kanyada blessed her grandchildren in a traditional way.","Baada ya kufungua zawadi, Nyar-Kanyada aliwabariki wajukuu wake kitamaduni."
Odongo gi Apiyo to jowok kadho tuko. Jo riemo ombutuku gi winyin.,Then Odongo and Apiyo went outside. They chased butterflies and birds.,Kisha Odongo na Apiyo wakaenda nje. Waliwakimbiza vipepeo na ndege.
Jo idho yen to jo tuko i pi ma nam.,They climbed trees and splashed in the water of the lake.,Walipanda kwenye miti na kurushiana maji ziwani.
Munyo piny oyutho jo dok peco cemo m’othieno.    Jo podho nindo mafodi jo kucowo kada cemo!,"When it was dark they returned to the house for dinner. Before they could finish eating, they were falling asleep!","Giza Iilipoingia, walirudi nyumbani kwa ajili ya chakula cha jioni. Kabla hata ya kumaliza kula, walikuwa wanasinzia!"
Yawere mere ba nyithindho no ogweyo mutoka pere dok i tindi madwoŋ to weyo jo gi adha jo.,"The next day, the children’s father drove back to the city leaving them with Nyar-Kanyada.","Siku iliyofuata, baba yao alirudi mjini na kuwaacha na Nyar-Kanyada."
Odongo gi Apiyo jo konyo adha jo gi tic ma peco. Jo kulo pi to jo dimo yen. Jo coko toŋgwendi to joŋweto fufa.,Odongo and Apiyo helped their grandmother with household chores. They fetched water and firewood. They collected eggs from the chickens and picked greens from the garden.,Odongo na Apiyo walimsaidia bibi yao na kazi za nyumbani. Walichota maji na kuokota kuni. Walikusanya mayai ya kuku na kuchuma mboga za majani kutoka kwenye bustani.
Nyajaruwa ofonjo nyikwaye guro kwon mayom macamere gi fufa. Onyutho jo kite matedo micere gi cak nazi ma camera gi rec abula.,Nyar-Kanyada taught her grandchildren to make soft ugali to eat with stew. She showed them how to make coconut rice to eat with roast fish.,Nyar-Kanyada aliwafundisha wajukuu wake jinsi ya kupika ugali mwepesi wa kula na mchuzi. Aliwaonesha namna ya kupika wali wa nazi wa kuliwa na samaki wa kukaanga.
Odikini acel Odongo okidho kwayo dhok p’adhamere. Jo donjo i ndelo pa jager. Won ndelo omako nge gi Odongo. Obwoko go ni ladoŋ gi dhoki rupir jo camo cemo pere. Wok ndelo no Odongo ogwoko dhoki timo banja kendo.,"One morning, Odongo took his grandmother’s cows to graze. They ran onto a neighbour’s farm.

The farmer was angry with Odongo. He threatened to keep the cows for eating his crops. After that day, the boy made sure that the cows did not get into trouble again.","Asubuhi moja, Odongo aliwapeleka ng’ombe wa bibi yake malishoni. Wakakimbilia ndani ya shamba la jirani. Mwenye shamba alikasirishwa sana na Odongo. Akatishia kuwazuia ng’ombe kula mimea yake. Tangu siku hiyo, Odongo alihakikisha kwamba ng’ombe hawaingii matatani tena."
"Ndelo man nyithindho jokidho i kisiya gi adha jo. Go oyido nitie gi kitandilo m’atana iye fufa, sukari gi sabuni. Apiyo omaro waco ri jonyew welo ma gigipiny. Odongo oyido tweyo gigipiny m’otiek nyewo.","On another day, the children went to the marketplace with Nyar-Kanyada. She had a stall selling vegetables, sugar and soap.

Apiyo liked to tell customers the price of items. Odongo would pack the items that customers bought.","Siku nyingine watoto walikwenda sokoni pamoja na Nyar-Kanyada. Nyar-Kanyada alikuwa na kibanda cha kuuza mboga, sukari na sabuni. Apiyo alipenda kuwatajia wateja bei za bidhaa. Odongo aliwafungia wateja bidhaa walizonunua."
I cowe mere jo madho cai kanyacel. Jo konyo adha jo gi kwano pesa m’olimo.,At the end of the day they drank chai tea together. They helped grandmother to count the money she earned.,Mwisho wa siku walikunywa chai pamoja. Walimsaidia bibi yao kuhesabu pesa alizozipata.
Mayot yot ywomirok orumo aka oripo ni nyithindho no jo wodoki i tindi pa jo. Nyajaruwa omiyo Odongo junga to miyo Apiyo sweta. Otweyo ri jo kit cemo ma camo iyo.,"But too soon the holidays were over and the children had to go back to the city.

Nyar-Kanyada gave Odongo a cap and Apiyo a sweater. She packed food for their journey.",Likizo ilikaribia kuisha na watoto walitakiwa kurudi mjini. Nyar-Kanyada alimpa Odongo kofia na Apiyo sweta. Aliwafungia chakula cha kula safarini.
"Munyo ba jo obino omo jo, oyido jo kumito dok. Nyithindho jo kwayo adha jo dok gi jo i tindi madwoŋ. Obwonjo to waco ni,  “Aasa ti ma kidho i tindi madwoŋ. Alabedo ka akur win bino thurin kendo.”","When their father came to fetch them, they did not want to leave. The children begged Nyar-Kanyada to go with them to the city.

She smiled and said, “I am too old for the city. I will be waiting for you to come to my village again.”","Baba yao alipokuja kuwachukua, hawakutaka kuondoka. Walimuomba Nyar-Kanyada aende nao mjini. Alitabasamu na kusema, “Nimezeeka, siyawezi ya mjini. Nitasubiri mje kijijini kwangu tena.”"
Odongo gi Apiyo jopodho i kor adha jo ma joridho matek aka jo sewila go.,Odongo and Apiyo both hugged her tightly and said goodbye.,Odongo na Apiyo walimkumbatia kwa pamoja na kumuaga.
Munyo Odongo gi Apiyo jo dok i sikulu jo lyesa ri wadi gin kwoŋ kwo ma calo. Nyithindho megi jo paro ni kwo ma tindi ber. Megi jo paro ni calo ber loyo. To m’oloyo aloya swa kis dhano oyeyo ni Odongo gi Apiyo jo nitie gi adha jo maber m’oasere!,"When Odongo and Apiyo went back to school they told their friends about life in the village. Some children felt that life in the city was good. Others felt that the village was better.

But most of all, everyone agreed that Odongo and Apiyo had a wonderful grandmother!","Odongo na Apiyo waliporudi shuleni, waliwasimulia marafiki zao kuhusu maisha ya kijijini. Baadhi ya watoto waliamini kuwa maisha ya mjini ni mazuri. Wengine waliamini kijijini ni bora zaidi. Lakini zaidi ya yote, kila mmoja alikubali kwamba Odongo na Apiyo walikuwa na bibi wa kipekee."
Gweno Kodi Ongongolo,Chicken and Millipede,Kuku na Jongoo
Gweno kodi Ongongolo oyido mere. To oyido ju tere pyemo gi achieli kwong jo. Ndelo achieli ju yiko tuko mupira nyaka juneni jatuko maberi.,Chicken and Millipede were friends. But they were always competing with each other. One day they decided to play football to see who the best player was.,Kuku na Jongoo walikuwa marafiki. Ila walikuwa wanashindana kila mara. Siku moja wakaamua kucheza mpira wa miguu ili waweze kubaini nani alikuwa mchezaji bora zaidi.
Jukadho ikisawe toju chako tuko pajo. Gweno oyido ni piyopiyo to Ongongolo oyido nipiyo swa. Gweno ogeyo mupira bori to Ongongolo ogweyo bori swa. Gweno to chako winjo nywowiroki.,"They went to the football field and started their game. Chicken was fast, but Millipede was faster. Chicken kicked far, but Millipede kicked further. Chicken started to feel grumpy.","Wakaenda uwanjani na wakaanza kucheza. Kuku alikuwa na kasi ila Jongoo alikuwa na kasi zaidi. Kuku alipiga mpira mbali, ila Jongoo alipiga mbali zaidi. Kuku akaanza kupandwa na hasira."
Juyiko tuko makitewa neno ngata oloyi. Ongongolo obedo jamaki gole. Gweno otewa gole achieli. Nyo totundo sawa pa Gweno ma makuro gole,They decided to play a penalty shoot-out. First Millipede was goal keeper. Chicken scored only one goal. Then it was the chicken’s turn to defend the goal.,Wakaamua kupigiana penati. Jongoo akaenda golini. Kuku alifunga goli moja pekee. Ikawa zamu ya kuku kwenda golini.
Ongongolo ogweyo mupira totewa. Ongongolo oketa mupira totewa. Ongongolo ogoyo mupira giwiye totewa. Ongongolo otewa gole abich!,"Millipede kicked the ball and scored.

Millipede dribbled the ball and scored. Millipede headed the ball and scored. Millipede scored five goals.",Jongoo alipiga mpira akafunga. Jongoo akapiga chenga akafunga. Jongoo akapiga kichwa akafunga. Jongoo akafunga magoli matano.
Gweno omako nge ni go ofiriwa. Go oyido obedo jakifiriwa marachi swa. Ongongolo ochako nyero rupiri mere pere oyido timo ginyero.,Chicken was furious that she lost. She was a very bad loser. Millipede started laughing because his friend was making such a fuss.,Kuku akakasirika kwa kuwa amefungwa. Hakuwa mshindani mzuri. Jongoo akaanza kucheka kwa sababu rafiki yake alikuwa analalamika.
Gweno omako nge to yawo dhoke malachi swa to mwonyo Ongongolo.,Chicken was so angry that she opened her beak wide and swallowed the millipede.,Kuku alipatwa na hasira kiasi kwamba akafungua mdomo wake mkubwa na akammeza Jongoo.
"Munyo Gweno oyido doki pecho, go oromo gi yoki Ongongolo. Yoki Ongongolo openjo ni ineno ye nyathi parani? Gweno ku wacho gimoro jye. Yoki Ongongolo obedo gi rembo.","As Chicken was walking home, she met Mother Millipede. Mother Millipede asked, “Have you seen my child?” Chicken didn’t say anything.

Mother Millipede was worried.","Kuku alipokuwa anarudi nyumbani alikutana na Mama yake Jongoo. Mama Jongoo akamuuliza, “Umemwona mwanangu?” Kuku hakujibu kitu. Mama Jongoo akapatwa na wasiwasi."
Nyaka to yoki Ongongolo winjo dwondo jo mathini. Konyani Mama dwondi jo oywaki. Yoki Ongongolo ongiyo thubongi go to winjo gi kikangasa swa. Dwondi jo owoki iyii Gweno.,Then Mother Millipede heard a tiny voice. “Help me mom!” cried the voice. Mother Millipede looked around and listened carefully. The voice came from inside the chicken.,Mama Jongoo akasikia sauti kwa mbali. “Nisaidie mama!” ile sauti ililia. Mama Jongoo akaangalia huku na kule na kusikiliza kwa makini. Sauti ilitokea tumboni mwa kuku.
"Yoki Ongongolo okoko, ori meni perini ma were omiyini nyathi paran! Ongongolo nyalo wotho ngweche marachi swa makibilere.Gweno ochako kichiroki pa two.","Mother Millipede shouted, “Use your special power my child!” Millipedes can make a bad smell and a terrible taste. Chicken began to feel ill.","Mama Jongoo alipiga kelele, “Tumia nguvu yako ya kipekee mwanangu!” Majongoo wanaweza kutoa harufu mbaya na ladha ya ajabu. Kuku akaanza kujisikia mgonjwa."
Gweno ochukere. Nyaka to mwonyo gi ngulo. Nyaka to jiro gi wolo. Munyo owolo Ongongolo ochali pa oyido kimiti.,Chicken burped. Then she swallowed and spat. Then she sneezed and coughed. And coughed. The millipede was disgusting!,Kuku akabeuwa. Akameza mate na kutema. Halafu akapiga chafya na kukohoa. Akakohoa tena. Jongoo alimfanya ajisikie vibaya.
Gweno owolo nyuka owolo woko Ongongolo iyii go. Yoki Ongongolo gi nyathi pere jurweta malo iwi yathi pondo.,Chicken coughed until she coughed out the millipede that was in her stomach. Mother Millipede and her child crawled up a tree to hide.,"Kuku alikohoa, hadi akamtema jongoo aliyekuwa tumboni mwake. Mama Jongoo na mwanaye wakakwea mti kujificha."
"Woki isawa no, Gwendi kodi Ongongolini jubedo jukwori.","From that time, chickens and millipedes were enemies.","Tangu hapo, Kuku na Jongoo ni maadui."
